ID	UnitTypeID	ItemName	Scale	Offset	OperationID	Notes
105	3	FluidOunce(US)	0.000029574	0	1	API Technical Data Book
106	3	quart	0.00094635	0	1	API Technical Data Book
107	3	gallon(US)	0.0037854	0	1	API Technical Data Book
108	3	ImpGallon	0.0045461	0	1	API Technical Data Book
109	3	milliliter	1.00003E-06	0	1	API Technical Data Book
110	8	Grain	0.000064799	0	1	API Technical Data Book
111	8	TroyOz	0.031103	0	1	API Technical Data Book
112	4	lb/in3	27680	0	1	API Technical Data Book
114	4	lb/gal(US)	119.83	0	1	API Technical Data Book
115	11	m3/s	3600	0	1	From sec. conversion
116	11	gal(US)/hr	0.0037854	0	1	API Technical Data Book
117	11	bbl/day	0.0066245	0	1	API Technical Data Book
118	11	bbl/hr	0.15898	0	1	API Technical Data Book
119	12	Btu	1055	0	1	API Technical Data Book
120	12	kW-hr	3600000	0	1	(Absolute kW)API Technical Data Book
121	12	HorsePower	2684500	0	1	API Technical Data Book
122	12	lbf-ft	1.3558	0	1	(lb-force) API Technical Data Book
123	12	psi-ft3	195.24	0	1	API Technical Data Book
124	12	l-atm	101.33	0	1	API Technical Data Book
125	12	CentigradeHeatUnit	1899.1	0	1	API Technical Data Book
126	16	W	1	0	1	(Abs. W) API Technical Data Book
127	16	Btu/min	17.584	0	1	API Technical Data Book
128	16	Btu/hr	0.29307	0	1	API Technical Data Book
129	16	ft-lb/s	1.3558	0	1	API Technical Data Book
130	16	ft-lb/min	0.022597	0	1	API Technical Data Book
131	16	HorsePower	745.7	0	1	API Technical Data Book
132	16	MetricHorsePower	735.5	0	1	API Technical Data Book
133	16	cal/s	4.184	0	1	API Technical Data Book
134	16	cal(I.T.)/s	4.1868	0	1	From Energy cal(I.T.) conversion
135	16	J/s	1	0	1	(Abs. J) API Technical Data Book
136	17	kJ/kg	1	0	1	API Technical Data Book
137	17	kJ(I.T)/kg	1.0002	0	1	API Technical Data Book
138	12	J(Int.)	1.0002	0	1	(International J) API Technical Data Book
139	17	cal/g	4.184	0	1	(Abs. cal.) API Technical Data Book
140	17	cal(I.T.)/g	4.1867	0	1	API Technical Data Book
141	17	Btu/lb	2.326	0	1	API Technical Data Book
142	13	cal/g-K	4.184	0	1	(Abs. cal.) API Technical Data Book
143	13	Btu/lb-F	4.1868	0	1	From cal/g-K conversion (assume equal)
144	10	microPoise	0.0000001	0	1	micro = 1e-6
145	13	kcal/kg-K	4.184	0	1	From cal/g-K conversion
146	18	kJ/kmol-K	1	0	1	From mass Cp conversion
147	18	kJ(I.T.)/kmol-K	1.0002	0	1	From mass Cp conversion
148	18	cal/mol-K	4.184	0	1	From mass Cp conversion
149	18	cal(I.T.)/mol-K	4.1868	0	1	From mass Cp conversion
150	18	Btu/lbmol-F	4.1868	0	1	From mass Cp conversion
151	13	kJ(I.T.)/kg-K	1.0002	0	1	API Technical Data Book
154	20	kJ/kmol	1	0	1	From Mass Entahlpy Conversion
155	20	kJ(I.T.)/kmol	1.0002	0	1	From Mass Entahlpy Conversion
156	20	cal/mol	4.184	0	1	From Mass Entahlpy Conversion
157	20	cal(I.T.)/mol	4.1867	0	1	From Mass Entahlpy Conversion
158	20	Btu/lbmol	2.3256	0	1	From Mass Entahlpy Conversion
159	21	W/cm2	1	0	1	API Technical Data Book
160	21	Btu/hr-ft2	0.0003155	0	1	API Technical Data Book
161	21	cal(I.T.)/s-cm2	4.1868	0	1	W to cal(I.T.) conversion
162	21	kcal(I.T.)/hr-in2	0.0001163	0	1	API Technical Data Book
163	22	W/cm2-K	1	0	1	API Technical Data Book
164	22	Btu/hr-ft2-F	0.0005678	0	1	API Technical Data Book
165	22	cal(I.T.)/s-cm2-K	4.1868	0	1	From W to cal/s conversion
166	22	kcal(I.T.)/hr-m2-K	0.0001163	0	1	API Technical Data Book
167	25	W/m-K	1	0	1	API Technical Data Book
168	25	Btu/hr-ft2-F/in	0.1442	0	1	API Technical Data Book
169	25	W/cm-K	100	0	1	From cm to m conversion
